id,name,symbol,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,mineable,exchange,payments
8423,Public Mint,MINT,3,2021-02-10 0:00:00,2.50E+08,103178169.9,2.50E+08,1104,0.032767951,42281.0522,165.4902,-1.20140464,-10.5183242,-15.2675407,-50.80908968,-44.85863311,-67.34153767,3380937.219,0,8191987.76,No,No,No
6209,Spheroid Universe,SPH,8,2020-08-05 0:00:00,2008574001,123052048.3,2116846013,1105,0.027447947,64565.97585,78.7875,-4.05431956,3.25402635,-37.46056839,-51.25072439,-47.31567333,-30.20418125,3377526.111,0,55131232.92,No,No,No
9958,SafeMoon Inu,SMI,9,2021-05-20 0:00:00,1.00E+12,1.00E+12,1.00E+12,1106,3.36E-06,106399.7114,-20.4414,-0.56091359,-0.92502796,-37.35855383,-52.18162839,-46.88808454,-75.43920726,3362928.092,0,3362928.09,No,No,No
3388,FREEdom Coin,FREE,33,2018-10-04 0:00:00,1.00E+13,9.94E+12,1.00E+13,1107,3.37E-07,388612.1935,-16.4214,-3.73530596,5.8406965,-11.78854028,-40.23473984,-39.65501471,-66.59291509,3354354.906,0,3374945.45,No,No,Yes
8029,Oxygen,OXY,20,2020-12-16 0:00:00,1.00E+10,33271907.68,9999999999,1108,0.10078589,650285.1282,-58.4911,-0.28246581,0.02597322,-19.14537956,-60.78466688,-71.2946705,-83.02497995,3353338.83,0,1007858901,No,No,No
9176,RocketX exchange,RVF,7,2021-04-13 0:00:00,99700000,64425493,99700000,1109,0.052000388,171073.0416,167.955,-1.68548336,1.2738809,-33.23666199,-25.35828738,30.0161245,-17.87934371,3350150.605,0,5184438.64,No,No,No
11437,DEEPSPACE,DPS,4,2021-08-27 7:45:24,1.00E+08,52893497.79,89598881.46,1110,0.06327465,25311.49693,36.8466,-0.54395762,-3.47975489,-21.83655921,-47.61965101,-70.42170118,-59.81254639,3346817.578,0,6327465.03,No,No,No
8936,Trias Token (new),TRIAS,5,2021-03-24 0:00:00,-1.00E+05,1600000,1.00E+07,1111,2.088730025,2461553.409,21.3305,-3.36133673,-2.69887426,-33.0266846,-64.98935278,-39.00327602,-67.64668186,3341968.04,0,20887300.25,No,No,No
1779,Wagerr,WGR,8,2017-07-05 0:00:00,-1.00E+05,216761204,244925688,1112,0.015416875,1180.337046,66.5711,-0.52509639,1.30235738,2.66027367,-31.86688399,-20.07939981,-30.96870946,3341780.428,3.00E-04,3775988.76,No,No,No
2829,REPO,REPO,3,2018-05-28 0:00:00,356999900,22573354,356999900,1113,0.147545484,207730.8848,25.1855,0.04962976,6.11218158,9.9368941,4.58078632,-34.97880821,-7.53784893,3330596.432,0,52673722.89,No,No,No
4228,Ferrum Network,FRM,23,2019-08-08 0:00:00,331718750,74806724.9,167234716.1,1114,0.044439252,148659.9644,-27.3626,-0.40343476,-1.88532374,-8.23674286,-39.80695579,-39.28975352,-57.12142613,3324354.867,0,14741332.98,No,No,No
1758,TenX,PAY,22,2017-06-27 0:00:00,-1.00E+05,205218255.9,205218255.9,1115,0.01618704,36894.45062,-17.3215,-0.66281626,8.44144017,-34.54110145,-57.02435246,-53.71025773,-69.70579538,3321876.2,3.00E-04,3321876.2,No,Yes,No
2019,Viberate,VIB,12,2017-10-06 0:00:00,-1.00E+05,198995000,2.00E+08,1116,0.016647376,1174651.428,195.525,0.38130258,-6.93100933,-17.50000774,-38.97908729,-35.59975139,-58.46953048,3312744.593,3.00E-04,3329475.21,No,No,No
3850,OTOCASH,OTO,4,2019-04-09 0:00:00,-1.00E+05,36820603.64,38307412.57,1117,0.089916451,0,0,0.00709351,0.00526255,-0.30793125,12.36748154,437.5081572,103.4156831,3310778.018,0,3444466.6,Yes,Yes,No
